"Adj_Open","Adj_High","Adj_Low","Adj_Close","Adj_Volume","Date"
18.43,18.46,18.2,18.25,49400,2014-01-02
18.26,18.53,18.2,18.48,47000,2014-01-03
18.57,18.85,18.37,18.42,67900,2014-01-06
18.57,18.95,18.5401,18.76,65100,2014-01-07
18.69,18.69,18.37,18.47,46300,2014-01-08
18.5,18.61,18.48,18.53,45000,2014-01-09
18.61,18.8,18.465,18.63,81800,2014-01-10
18.55,18.759,18.5,18.61,92200,2014-01-13
18.64,18.711,18.5,18.56,66300,2014-01-14
18.62,19.3,18.62,19.24,62600,2014-01-15
19.17,19.17,18.5,18.67,43100,2014-01-16
18.69,18.87,18.5101,18.84,100200,2014-01-17
18.84,19.02,18.51,18.85,66100,2014-01-21
18.9,19.03,18.83,19.02,30600,2014-01-22
18.89,19.085,18.77,18.86,55300,2014-01-23
18.7,18.85,18.5,18.54,91500,2014-01-24
18.6,18.685,18.1,18.15,66900,2014-01-27
18.15,18.316,18.11,18.19,49300,2014-01-28
18.01,18.16,17.665,17.7,191300,2014-01-29
17.72,17.94,17.55,17.8,61700,2014-01-30
17.55,17.75,17.53,17.64,47700,2014-01-31
17.59,17.62,17.25,17.25,75000,2014-02-03
17.18,17.53,17.18,17.45,105300,2014-02-04
17.35,17.6,17.35,17.51,41300,2014-02-05
17.55,18.1,17.46,17.58,41100,2014-02-06
17.58,17.58,17.25,17.26,41000,2014-02-07
17.17,17.35,17.1,17.24,55500,2014-02-10
17.08,17.87,17.08,17.77,69700,2014-02-11
17.74,17.94,17.45,17.92,43100,2014-02-12
17.82,18.07,17.65,17.95,53700,2014-02-13
17.97,18.12,17.77,18.1,51500,2014-02-14
18.12,18.7,18.01,18.64,69000,2014-02-18
18.51,18.538,18.09,18.13,47100,2014-02-19
18.31,18.33,18.01,18.22,25300,2014-02-20
18.34,18.43,18.01,18.14,36800,2014-02-21
18.08,18.2,17.9301,18.03,25700,2014-02-24
18.05,18.1,17.8,18.06,33800,2014-02-25
18.03,18.1,17.84,17.95,33000,2014-02-26
17.94,18.29,17.89,18.18,23800,2014-02-27
18.24,18.42,18.08,18.19,33500,2014-02-28
18.1,18.1,17.88,18.06,29800,2014-03-03
18.22,18.62,18.19,18.49,66200,2014-03-04
18.43,18.5,18.282,18.49,16400,2014-03-05
18.46,18.86,18.42,18.75,25800,2014-03-06
18.87,19.1,18.73,19.02,30900,2014-03-07
18.93,18.93,18.6501,18.77,23600,2014-03-10
18.85,18.9,18.38,18.51,52700,2014-03-11
18.39,18.72,18.01,18.62,39200,2014-03-12
18.71,18.72,18.395,18.52,23000,2014-03-13
18.44,18.97,18.44,18.86,31800,2014-03-14
18.97,18.99,18.755,18.83,38300,2014-03-17
18.83,18.83,18.65,18.8,28800,2014-03-18
18.75,19.0076,18.72,18.92,45100,2014-03-19
18.92,19.02,18.88,18.97,23200,2014-03-20
18.99,19.24,18.85,18.99,72200,2014-03-21
19.04,19.12,18.87,19.04,30800,2014-03-24
19,19.11,18.87,19.05,21000,2014-03-25
19.16,19.16,18.64,18.64,43800,2014-03-26
18.68,18.71,18.49,18.51,31100,2014-03-27
18.41,18.74,17.97,18.54,82700,2014-03-28
18.63,18.85,18.52,18.81,56500,2014-03-31
18.77,19.24,18.77,19.22,69300,2014-04-01
19.18,19.75,19.12,19.75,43000,2014-04-02
19.68,19.74,18.9,18.9,32600,2014-04-03
18.89,19,18.01,18.06,75300,2014-04-04
18.01,18.14,17.75,17.89,36600,2014-04-07
17.97,18.4275,17.945,18.12,32200,2014-04-08
18.2,18.22,17.85,17.98,86700,2014-04-09
17.98,17.98,17.75,17.92,62300,2014-04-10
17.75,17.94,17.75,17.76,36400,2014-04-11
17.91,18.15,17.7,17.85,88000,2014-04-14
17.87,18.18,17.74,18.06,39800,2014-04-15
18.14,18.64,18.11,18.6,34900,2014-04-16
18.55,18.98,18.55,18.77,35700,2014-04-17
18.75,18.99,18.65,18.88,30700,2014-04-21
18.91,19.24,18.71,19.03,59100,2014-04-22
18.405,19.25,18.405,18.93,35400,2014-04-23
19.15,19.15,18.66,19.02,19100,2014-04-24
19,19.21,18.77,19.06,41500,2014-04-25
19.19,19.19,18.7,19.03,37100,2014-04-28
19.19,19.22,18.73,18.88,20900,2014-04-29
18.77,18.99,18.64,18.92,56100,2014-04-30
18.8,18.99,18.64,18.91,55300,2014-05-01
19.01,19.205,18.88,18.99,28300,2014-05-02
18.81,19.2,18.76,18.96,29200,2014-05-05
18.96,19.21,18.68,18.82,49300,2014-05-06
19.2199,19.47,18.62,19.34,54300,2014-05-07
19.4,19.74,18.56,19,237300,2014-05-08
18.83,18.99,18.61,18.95,29200,2014-05-09
19.12,19.33,19.01,19.05,79300,2014-05-12
19.06,19.07,18.831,18.93,119500,2014-05-13
18.91,18.91,18.64,18.74,79800,2014-05-14
18.6,18.84,18.54,18.71,47600,2014-05-15
18.67,18.88,18.62,18.77,128900,2014-05-16
18.78,18.98,18.77,18.9,130000,2014-05-19
18.8,18.98,18.26,18.4,412300,2014-05-20
18.51,18.9896,18.51,18.75,65300,2014-05-21
18.84,18.864,18.68,18.73,82100,2014-05-22
18.81,18.85,18.48,18.69,88200,2014-05-23
18.73,18.775,18.44,18.49,92800,2014-05-27
18.47,18.72,18.4,18.5,68100,2014-05-28
